file_name,date_created
file_1.pdf,DD/MM/YYYY
file_2.pdf,2025-12-25
file_3.pdf,25/12/2025
file_4.pdf,text
file_5.pdf,MM/DD/YYYY
file_6.pdf,yyyy
file_7.pdf,MM
file_8.pdf,2025-12-25
file_9.pdf,25/12/2025
file_10.pdf,2025-12-25
file_11.pdf,DD/MM/YYYY
file_12.pdf,MM/DD/YYYY
file_13.pdf,12-25-2025 14:33:22
file_14.pdf,dd-mm
file_15.pdf,12-25-2025 14:33:22
file_16.pdf,dd-mm-yyyy T hh:mm:ss
file_17.pdf,gibberish###
file_18.pdf,12-25-2025 14:33:22
file_19.pdf,2025-12-25###
file_20.pdf,gibberish
file_21.pdf,YYYY
file_22.pdf,yyyy
file_23.pdf,MM
file_24.pdf,12-25-2025 14:33:22
file_25.pdf,dd/MM/yyyy
file_26.pdf,MM
file_27.pdf,DD/YYYY/MM###
file_28.pdf,12-25-2025 14:33:22
file_29.pdf,25/12/2025###
file_30.pdf,12-25-2025 14:33:22
file_31.pdf,yyyy
file_32.pdf,12-25-2025 14:33:22
file_33.pdf,yyyy
file_34.pdf,12-25-2025 14:33:22###
file_35.pdf,25/12/2025
file_36.pdf,text
file_37.pdf,2025-12-25
file_38.pdf,dd-mm-yyyy T hh:mm:ss
file_39.pdf,text###
file_40.pdf,gibberish
file_41.pdf,MM/DD/YYYY
file_42.pdf,12-25-2025 14:33:22
file_43.pdf,MM/DD/YYYY
file_44.pdf,dd/MM/yyyy
file_45.pdf,text
file_46.pdf,DD/MM/YYYY
file_47.pdf,12-25-2025 14:33:22
file_48.pdf,12-25-2025 14:33:22
file_49.pdf,GIBBERISH
file_50.pdf,25/12/2025
file_51.pdf,25/12/2025
file_52.pdf,GIBBERISH
file_53.pdf,MM
file_54.pdf,gibberish
file_55.pdf,DD/YYYY/MM
file_56.pdf,text
file_57.pdf,DD-MM
file_58.pdf,25/12/2025
file_59.pdf,text
file_60.pdf,text
file_61.pdf,dd/MM/yyyy
file_62.pdf,2025-12-25
file_63.pdf,YYYY
file_64.pdf,12-25-2025 14:33:22
file_65.pdf,dd-mm
file_66.pdf,gibberish
file_67.pdf,dd/MM/yyyy
file_68.pdf,2025-12-25
file_69.pdf,MM###
file_70.pdf,2025-12-25
file_71.pdf,DD-MM
file_72.pdf,MM
file_73.pdf,dd-mm-yyyy T hh:mm:ss
file_74.pdf,12-25-2025 14:33:22
file_75.pdf,MM/DD/YYYY
file_76.pdf,dd-mm-yyyy T hh:mm:ss###
file_77.pdf,DD/MM/YYYY###
file_78.pdf,yyyy
file_79.pdf,DD-MM
file_80.pdf,25/12/2025
file_81.pdf,25/12/2025
file_82.pdf,text
file_83.pdf,12-25-2025 14:33:22
file_84.pdf,text
file_85.pdf,12-25-2025 14:33:22###
file_86.pdf,dd/yyyy/mm
file_87.pdf,DD/YYYY/MM
file_88.pdf,12-25-2025 14:33:22
file_89.pdf,text
file_90.pdf,12-25-2025 14:33:22
file_91.pdf,MM
file_92.pdf,25/12/2025
file_93.pdf,2025-12-25
file_94.pdf,dd-mm
file_95.pdf,25/12/2025
file_96.pdf,TEXT
file_97.pdf,12-25-2025 14:33:22###
file_98.pdf,dd/yyyy/mm
file_99.pdf,dd-mm-yyyy T hh:mm:ss
file_100.pdf,DD/MM/YYYY###
file_101.pdf,dd/MM/yyyy
file_102.pdf,dd/yyyy/mm
file_103.pdf,25/12/2025
file_104.pdf,dd/MM/yyyy
file_105.pdf,12-25-2025 14:33:22
file_106.pdf,text
file_107.pdf,2025-12-25
file_108.pdf,2025-12-25
file_109.pdf,yyyy
file_110.pdf,MM/DD/YYYY
file_111.pdf,dd/MM/yyyy
file_112.pdf,12-25-2025 14:33:22
file_113.pdf,12-25-2025 14:33:22
file_114.pdf,12-25-2025 14:33:22
file_115.pdf,2025-12-25
file_116.pdf,dd/yyyy/mm
file_117.pdf,dd-mm
file_118.pdf,gibberish
file_119.pdf,25/12/2025
file_120.pdf,text
file_121.pdf,dd/MM/yyyy
file_122.pdf,MM
file_123.pdf,dd/MM/yyyy
file_124.pdf,text
file_125.pdf,gibberish
file_126.pdf,MM
file_127.pdf,25/12/2025
file_128.pdf,DD-MM-YYYY T HH:MM:SS
file_129.pdf,text###
file_130.pdf,dd/MM/yyyy
file_131.pdf,gibberish
file_132.pdf,gibberish
file_133.pdf,DD/YYYY/MM
file_134.pdf,2025-12-25
file_135.pdf,dd/yyyy/mm
file_136.pdf,gibberish
file_137.pdf,dd/MM/yyyy###
file_138.pdf,MM
file_139.pdf,2025-12-25
file_140.pdf,25/12/2025
file_141.pdf,yyyy
file_142.pdf,2025-12-25
file_143.pdf,12-25-2025 14:33:22
file_144.pdf,25/12/2025
file_145.pdf,MM/DD/YYYY###
file_146.pdf,MM/DD/YYYY
file_147.pdf,MM/DD/YYYY
file_148.pdf,MM/DD/YYYY
file_149.pdf,dd/MM/yyyy
file_150.pdf,2025-12-25
file_151.pdf,MM/DD/YYYY
file_152.pdf,MM/DD/YYYY
file_153.pdf,MM###
file_154.pdf,MM/DD/YYYY
file_155.pdf,dd-mm
file_156.pdf,text
file_157.pdf,12-25-2025 14:33:22
file_158.pdf,MM/DD/YYYY
file_159.pdf,MM
file_160.pdf,text
file_161.pdf,dd-mm
file_162.pdf,DD/YYYY/MM
file_163.pdf,dd/yyyy/mm
file_164.pdf,yyyy
file_165.pdf,gibberish
file_166.pdf,dd/yyyy/mm
file_167.pdf,2025-12-25
file_168.pdf,dd-mm-yyyy T hh:mm:ss###
file_169.pdf,yyyy
file_170.pdf,MM
file_171.pdf,MM
file_172.pdf,2025-12-25
file_173.pdf,MM/DD/YYYY
file_174.pdf,text
file_175.pdf,dd-mm-yyyy T hh:mm:ss
file_176.pdf,dd/yyyy/mm
file_177.pdf,gibberish
file_178.pdf,dd/MM/yyyy
file_179.pdf,dd/yyyy/mm
file_180.pdf,12-25-2025 14:33:22
file_181.pdf,dd-mm-yyyy T hh:mm:ss
file_182.pdf,text
file_183.pdf,gibberish
file_184.pdf,yyyy
file_185.pdf,text
file_186.pdf,dd/yyyy/mm
file_187.pdf,MM/DD/YYYY
file_188.pdf,text
file_189.pdf,12-25-2025 14:33:22
file_190.pdf,DD-MM-YYYY T HH:MM:SS
file_191.pdf,MM
file_192.pdf,25/12/2025
file_193.pdf,MM
file_194.pdf,25/12/2025
file_195.pdf,25/12/2025
file_196.pdf,25/12/2025
file_197.pdf,yyyy
file_198.pdf,12-25-2025 14:33:22
file_199.pdf,dd-mm
file_200.pdf,DD/YYYY/MM
file_201.pdf,dd-mm-yyyy T hh:mm:ss
file_202.pdf,dd/yyyy/mm
file_203.pdf,MM
file_204.pdf,dd-mm
file_205.pdf,2025-12-25
file_206.pdf,text###
file_207.pdf,DD/MM/YYYY
file_208.pdf,text
file_209.pdf,25/12/2025
file_210.pdf,2025-12-25
file_211.pdf,dd-mm
file_212.pdf,dd/yyyy/mm
file_213.pdf,dd-mm-yyyy T hh:mm:ss
file_214.pdf,gibberish
file_215.pdf,dd/yyyy/mm
file_216.pdf,text###
file_217.pdf,2025-12-25
file_218.pdf,DD/MM/YYYY
file_219.pdf,MM/DD/YYYY
file_220.pdf,dd-mm###
file_221.pdf,MM/DD/YYYY
file_222.pdf,dd-mm
file_223.pdf,gibberish
file_224.pdf,gibberish
file_225.pdf,dd/MM/yyyy
file_226.pdf,12-25-2025 14:33:22###
file_227.pdf,25/12/2025
file_228.pdf,text
file_229.pdf,DD/YYYY/MM
file_230.pdf,dd/yyyy/mm
file_231.pdf,2025-12-25
file_232.pdf,dd/MM/yyyy
file_233.pdf,text
file_234.pdf,2025-12-25
file_235.pdf,gibberish
file_236.pdf,dd-mm-yyyy T hh:mm:ss###
file_237.pdf,dd/yyyy/mm
file_238.pdf,dd/MM/yyyy
file_239.pdf,MM
file_240.pdf,dd-mm
file_241.pdf,MM/DD/YYYY
file_242.pdf,25/12/2025
file_243.pdf,gibberish###
file_244.pdf,GIBBERISH
file_245.pdf,text
file_246.pdf,dd-mm-yyyy T hh:mm:ss
file_247.pdf,2025-12-25
file_248.pdf,12-25-2025 14:33:22
file_249.pdf,dd/MM/yyyy
file_250.pdf,MM/DD/YYYY
